xml,section,pathTemplate,kind,value,count,examplePath,candidateValues
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/deployedEquipment/Equipment/geospatialLocation/GeospatialLocation/geopositioningMethod/@href,attribute,http://codes.wmo.int/wmdr/GeopositioningMethod/gps,13,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/deployedEquipment/Equipment/geospatialLocation/GeospatialLocation/geopositioningMethod/@href,gps | http://codes.wmo.int/wmdr/GeopositioningMethod/gps
resources/wmdr10_xml_examples/20250731_0-20000-0-06650.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/deployedEquipment/Equipment/geospatialLocation/GeospatialLocation/geopositioningMethod/@href,attribute,http://codes.wmo.int/wmdr/GeopositioningMethod/gps,12,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/deployedEquipment/Equipment/geospatialLocation/GeospatialLocation/geopositioningMethod/@href,gps | http://codes.wmo.int/wmdr/GeopositioningMethod/gps
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/deployedEquipment/Equipment/geospatialLocation/GeospatialLocation/geopositioningMethod/@href,attribute,http://codes.wmo.int/wmdr/GeopositioningMethod/gps,12,/WIGOSMetadataRecord/facility/ObservingFacility/observation[3]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/deployedEquipment/Equipment/geospatialLocation/GeospatialLocation/geopositioningMethod/@href,gps | http://codes.wmo.int/wmdr/GeopositioningMethod/gps
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/heightAboveLocalReferenceSurface/@uom,attribute,m,12,/WIGOSMetadataRecord/facility/ObservingFacility/observation[3]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/heightAboveLocalReferenceSurface/@uom,m
resources/wmdr10_xml_examples/20250731_0-20000-0-06650.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endHour/text(),text,23,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endHour/text(),23
resources/wmdr10_xml_examples/20250731_0-20000-0-06650.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endMinute/text(),text,59,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endMinute/text(),59
resources/wmdr10_xml_examples/20250731_0-20000-0-06650.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endMonth/text(),text,12,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endMonth/text(),12
resources/wmdr10_xml_examples/20250731_0-20000-0-06650.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endWeekday/text(),text,7,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endWeekday/text(),7
resources/wmdr10_xml_examples/20250731_0-20000-0-06650.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startHour/text(),text,0,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startHour/text(),0
resources/wmdr10_xml_examples/20250731_0-20000-0-06650.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startMinute/text(),text,0,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startMinute/text(),0
resources/wmdr10_xml_examples/20250731_0-20000-0-06650.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startMonth/text(),text,1,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startMonth/text(),1
resources/wmdr10_xml_examples/20250731_0-20000-0-06650.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startWeekday/text(),text,1,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startWeekday/text(),1
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),text,00:00:00Z,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[4]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),00:00:00Z
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/endHour/text(),text,23,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[4]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/endHour/text(),23
